epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,126.755,4.48083,0.05926,0.1963,4.2847,3.52025e-05,3.52025e-05,3.52025e-05
2,248.58,4.11559,0.26204,0.5787,3.73272,5.65697e-05,5.65697e-05,5.65697e-05
3,381.144,3.62919,0.44074,0.77593,3.09983,6.3945e-05,6.3945e-05,6.3945e-05
4,520.391,3.18448,0.51759,0.84259,2.67077,4.3036e-05,4.3036e-05,4.3036e-05
5,651.533,2.91192,0.54444,0.85093,2.48043,2.2048e-05,2.2048e-05,2.2048e-05
